Age,Group_Size,Travel_Mode,Location,Activity_Type,Duration_Minutes,Hotel_Star,Carbon_Footprint_kg_CO2
27,4,Flight,Trincomalee,Flight,273,4,76.221
33,4,Private Vehicle,Bentota,Vehicle Travel,216,3,10.458
55,1,Tuk-Tuk,Jaffna,Vehicle Travel,332,3,3.987
60,2,Public Transport,Bentota,Airport Transfer,26,5,0.501
25,5,Boat,Colombo,Boat Ride,48,4,1.136
50,4,N/A,Jaffna,Resting,168,4,0.354
40,6,Train,Kandy,Vehicle Travel,245,3,12.722
49,12,Public Transport,Hikkaduwa,Airport Transfer,61,5,7.157
78,2,Water,Haputale,Surfing,191,4,0.352
22,1,Private Vehicle,Hikkaduwa,Vehicle Travel,242,3,3.098
80,1,Flight,Jaffna,Flight,416,5,27.478
46,1,Flight,Badulla,Flight,167,5,13.999
66,6,Walking,Nuwara Eliya,Hiking,190,4,0.177
44,11,Flight,Dambulla,Flight,322,4,265.844
37,13,N/A,Nuwara Eliya,Meal,41,3,16.149
66,7,Cruise,Colombo,Cruise,282,4,58.052
61,4,Private Vehicle,Nuwara Eliya,Medical / Hospital Visit,50,2,1.516
27,1,Private Vehicle,Trincomalee,Private / Hired Vehicle,115,4,1.141
62,4,Flight,Kandy,Flight,397,3,105.998
65,3,Public Transport,Sigiriya,Public Transport,106,3,0.395
42,13,Walking,Colombo,Hiking,278,5,0.716
76,5,Flight,Nuwara Eliya,Flight,170,2,56.878
58,2,Private Vehicle,Negombo,Private / Hired Vehicle,150,5,3.643
39,3,Private Vehicle,Ella,Vehicle Travel,69,3,2.684
18,1,Walking,Sigiriya,Other,109,1,0.049
60,14,Walking,Galle,Hiking,118,1,0.222
31,1,Public Transport,Anuradhapura,Public Transport,104,3,0.129
65,1,Private Vehicle,Dambulla,Vehicle Travel,219,3,2.855
51,2,Train,Trincomalee,Vehicle Travel,19,3,0.294
47,11,Flight,Nuwara Eliya,Flight,149,4,125.613
28,5,N/A,Bentota,Other,68,3,0.588
62,7,Walking,Hikkaduwa,Sightseeing,59,1,0.183
28,3,Private Vehicle,Arugam Bay,Cultural / Temple Visit,85,3,0.429
44,1,Walking,Arugam Bay,Walking,48,2,0.001
70,12,Private Vehicle,Kalpitiya,Vehicle Travel,63,1,8.577
75,2,Walking,Polonnaruwa,Vehicle Travel,33,2,0.282
80,1,Walking,Nuwara Eliya,Shopping,119,4,0.222
78,6,Public Transport,Negombo,Public Transport,80,4,0.631
53,1,Public Transport,Dambulla,Airport Transfer,84,5,0.741
30,1,Public Transport,Kalpitiya,Shopping,135,4,0.636
70,11,Ferry,Sigiriya,Ferry,95,4,6.423
68,5,Private Vehicle,Negombo,Vehicle Travel,135,3,8.499
80,2,Private Vehicle,Ella,Vehicle Travel,82,1,1.935
59,3,Private Vehicle,Yala,Sightseeing,154,4,0.997
26,9,Private Vehicle,Kandy,Sightseeing,171,3,2.201
49,1,Walking,Mirissa,Vehicle Travel,127,3,0.5
46,1,Tuk-Tuk,Hikkaduwa,Vehicle Travel,70,5,1.015
71,7,Private Vehicle,Yala,Vehicle Travel,139,2,12.612
42,7,Private Vehicle,Yala,Vehicle Travel,307,1,19.797
38,18,N/A,Nuwara Eliya,Meal,49,5,29.231
23,4,Private Vehicle,Dambulla,Spa / Ayurveda,92,3,2.044
70,1,Walking,Haputale,Hiking,93,3,0.013
65,6,Flight,Galle,Flight,168,2,67.046
20,7,Train,Sigiriya,Vehicle Travel,149,3,8.796
45,1,Public Transport,Mirissa,Sightseeing,140,5,0.263
48,6,Private Vehicle,Anuradhapura,Private / Hired Vehicle,82,4,5.401
47,2,N/A,Colombo,Meal,36,3,1.929
75,12,Flight,Colombo,Flight,414,3,336.482
27,12,Private Vehicle,Nuwara Eliya,Spa / Ayurveda,200,3,13.97
37,4,Cruise,Badulla,Cruise,190,4,19.976
29,17,Private Vehicle,Mirissa,Vehicle Travel,42,3,9.135
33,18,Private Vehicle,Sigiriya,Spa / Ayurveda,136,2,15.222
75,1,Walking,Kandy,Walking,68,4,0.001
77,3,Private Vehicle,Dambulla,Airport Transfer,99,5,3.172
20,7,Public Transport,Anuradhapura,Spa / Ayurveda,135,5,7.862
57,1,Flight,Anuradhapura,Flight,248,5,20.516
32,4,Private Vehicle,Jaffna,Cultural / Temple Visit,84,4,0.602
30,2,Boat,Nuwara Eliya,Boat Ride,51,4,0.532
36,16,Jeep,Negombo,Wildlife Safari,293,5,102.488
30,4,Private Vehicle,Bentota,Vehicle Travel,202,1,9.322
48,10,Jeep,Negombo,Wildlife Safari,424,3,68.526
80,4,Tuk-Tuk,Trincomalee,Vehicle Travel,150,2,6.735
54,1,Private Vehicle,Galle,Other,54,5,0.121
63,12,Flight,Mirissa,Flight,77,5,72.269
49,1,Public Transport,Kandy,Airport Transfer,42,5,0.45
18,1,Boat,Negombo,Boat Ride,136,3,0.604
23,3,Private Vehicle,Anuradhapura,Sightseeing,108,5,0.701
34,8,Public Transport,Hikkaduwa,Spa / Ayurveda,181,1,7.555
33,3,Train,Nuwara Eliya,Vehicle Travel,182,2,4.026
70,1,Boat,Yala,Boat Ride,41,4,0.215
71,3,Public Transport,Bentota,Airport Transfer,100,4,3.01
71,2,Public Transport,Sigiriya,Public Transport,109,5,0.302
58,1,Bicycle,Bentota,Vehicle Travel,242,3,1.797
53,6,Bicycle,Kandy,Bicycle Ride,118,3,0.02
58,1,Train,Anuradhapura,Vehicle Travel,160,3,1.627
43,3,Tuk-Tuk,Galle,Vehicle Travel,83,1,1.868
60,7,Walking,Trincomalee,Vehicle Travel,256,5,9.339
68,9,Bicycle,Kandy,Vehicle Travel,93,3,5.393
66,2,N/A,Colombo,Beach Leisure,225,2,0.376
56,3,Public Bus,Yala,Vehicle Travel,127,3,3.495
21,2,Train,Sigiriya,Vehicle Travel,41,4,0.747
63,16,Walking,Kalpitiya,Vehicle Travel,73,5,5.633
41,2,Boat,Sigiriya,Boat Ride,63,2,0.556
64,2,Public Transport,Anuradhapura,Shopping,64,2,0.609
51,4,Public Bus,Nuwara Eliya,Vehicle Travel,274,5,12.191
73,2,Water,Kalpitiya,Swimming / Snorkeling,48,4,0.103
39,1,N/A,Dambulla,Meal,56,3,1.587
76,1,Private Vehicle,Ella,Sightseeing,115,2,0.193
71,7,N/A,Sigiriya,Meal,77,5,23.024
38,7,Public Transport,Ella,Cultural / Temple Visit,60,4,0.703
48,7,Private Vehicle,Ella,Vehicle Travel,33,2,2.411
51,10,Public Transport,Nuwara Eliya,Public Transport,39,2,0.431
66,3,N/A,Kalpitiya,Meal,71,2,5.809
61,14,Public Transport,Arugam Bay,Cultural / Temple Visit,51,3,1.027
71,9,Walking,Anuradhapura,Walking,144,2,0.013
41,11,Private Vehicle,Ella,Vehicle Travel,123,3,17.572
49,9,Walking,Ella,Shopping,118,2,1.399
45,3,Water,Jaffna,Swimming / Snorkeling,101,3,0.253
75,3,Water,Dambulla,Surfing,98,3,0.256
37,4,Train,Jaffna,Vehicle Travel,67,3,2.402
54,1,N/A,Hikkaduwa,Resting,77,5,0.049
25,4,Tuk-Tuk,Sigiriya,Vehicle Travel,268,3,12.835
71,1,Walking,Haputale,Jogging,41,5,0.007
42,1,Private Vehicle,Polonnaruwa,Shopping,123,5,0.798
39,15,Walking,Kalpitiya,Vehicle Travel,48,5,3.348
54,8,Private Vehicle,Hikkaduwa,Vehicle Travel,276,2,24.466
49,6,Bicycle,Hikkaduwa,Vehicle Travel,25,3,1.111
71,3,Private Vehicle,Kandy,Vehicle Travel,84,4,3.481
51,6,Walking,Ella,Walking,90,2,0.006
50,13,Walking,Galle,Jogging,27,2,0.046
24,7,Public Bus,Arugam Bay,Vehicle Travel,142,1,8.31
19,7,Private Vehicle,Jaffna,Vehicle Travel,188,4,18.122
43,5,Public Transport,Galle,Spa / Ayurveda,119,5,3.651
80,3,N/A,Dambulla,Meal,66,3,6.011
75,8,Train,Trincomalee,Vehicle Travel,157,5,11.466
57,18,N/A,Jaffna,Resting,113,4,1.244
57,4,Private Vehicle,Haputale,Vehicle Travel,167,1,8.644
42,4,Private Vehicle,Jaffna,Private / Hired Vehicle,101,3,3.595
29,4,Private Vehicle,Colombo,Airport Transfer,102,1,3.237
18,4,Walking,Dambulla,Vehicle Travel,88,5,1.648
39,19,Private Vehicle,Kalpitiya,Private / Hired Vehicle,170,4,29.845
37,9,Private Vehicle,Kandy,Sightseeing,129,4,2.115
30,3,Boat,Trincomalee,Boat Ride,81,4,1.22
34,3,Water,Arugam Bay,Surfing,165,3,0.418
19,4,Train,Ella,Vehicle Travel,140,5,5.946
56,1,N/A,Sigiriya,Meal,41,5,1.463
76,5,Public Transport,Kalpitiya,Cultural / Temple Visit,62,4,0.489
61,11,Private Vehicle,Anuradhapura,Medical / Hospital Visit,60,3,6.099
46,8,Ferry,Trincomalee,Ferry,182,1,6.818
44,2,Private Vehicle,Dambulla,Shopping,81,1,0.588
37,9,Public Transport,Yala,Shopping,164,2,4.953
26,9,Private Vehicle,Kalpitiya,Private / Hired Vehicle,62,4,5.08
55,2,Walking,Arugam Bay,Walking,43,4,0.001
53,7,N/A,Badulla,Resting,76,5,0.329
18,7,Bicycle,Galle,Bicycle Ride,118,2,0.02
44,12,Public Bus,Kalpitiya,Vehicle Travel,140,3,17.03
35,1,Boat,Galle,Boat Ride,66,1,0.244
28,2,Public Bus,Polonnaruwa,Vehicle Travel,118,5,3.141
62,5,Cruise,Hikkaduwa,Cruise,228,4,28.5
51,1,Walking,Jaffna,Jogging,54,3,0.007
57,4,Private Vehicle,Kalpitiya,Sightseeing,246,4,2.182
62,10,Flight,Mirissa,Flight,61,4,38.612
79,1,Private Vehicle,Hikkaduwa,Spa / Ayurveda,149,3,0.912
68,5,Private Vehicle,Dambulla,Cultural / Temple Visit,76,2,0.651
57,19,Walking,Polonnaruwa,Hiking,193,3,0.604
73,5,Cruise,Nuwara Eliya,Cruise,365,3,45.862
48,5,Private Vehicle,Polonnaruwa,Private / Hired Vehicle,149,4,6.397
80,6,Public Bus,Jaffna,Vehicle Travel,112,3,6.273
65,2,Private Vehicle,Colombo,Vehicle Travel,71,4,1.966
59,1,Train,Haputale,Vehicle Travel,78,4,0.805
74,8,Flight,Dambulla,Flight,243,4,138.589
50,4,Private Vehicle,Kalpitiya,Other,149,5,1.27
63,3,Train,Dambulla,Vehicle Travel,186,3,5.18
35,1,Cruise,Bentota,Cruise,290,4,7.982
78,12,Walking,Bentota,Other,73,1,0.367
57,1,Public Transport,Sigiriya,Shopping,104,4,0.511
67,10,Private Vehicle,Yala,Airport Transfer,43,4,5.144
47,4,Walking,Colombo,Sightseeing,188,2,0.343
72,7,Walking,Negombo,Shopping,97,1,0.883
22,2,Private Vehicle,Dambulla,Vehicle Travel,284,4,7.785
25,1,Walking,Badulla,Vehicle Travel,60,4,0.224
49,6,Walking,Jaffna,Vehicle Travel,309,4,7.058
64,8,Public Transport,Badulla,Spa / Ayurveda,83,3,3.87
68,2,Cruise,Nuwara Eliya,Cruise,200,4,10.71
45,4,Walking,Arugam Bay,Jogging,36,4,0.021
58,4,Private Vehicle,Dambulla,Vehicle Travel,330,3,15.861
52,2,Public Bus,Dambulla,Vehicle Travel,105,4,2.37
78,6,Water,Dambulla,Swimming / Snorkeling,98,4,0.643
59,1,Private Vehicle,Arugam Bay,Private / Hired Vehicle,154,5,1.975
44,5,Flight,Kandy,Flight,329,3,102.703
79,1,Walking,Kalpitiya,Other,91,3,0.05
24,5,Flight,Anuradhapura,Flight,406,5,142.142
80,3,Private Vehicle,Mirissa,Vehicle Travel,96,5,4.849
27,4,Bicycle,Galle,Bicycle Ride,106,3,0.012
36,4,Train,Haputale,Vehicle Travel,219,5,10.241
69,14,Tuk-Tuk,Sigiriya,Vehicle Travel,196,2,30.952
64,5,Jeep,Badulla,Wildlife Safari,416,5,44.145
79,11,Walking,Negombo,Vehicle Travel,227,2,9.018
65,2,Flight,Bentota,Flight,140,3,16.999
58,3,Public Transport,Anuradhapura,Shopping,192,5,3.033
39,1,N/A,Badulla,Resting,144,2,0.07
18,4,Private Vehicle,Jaffna,Sightseeing,105,5,0.903
25,8,N/A,Hikkaduwa,Beach Leisure,199,3,1.318
36,12,N/A,Mirissa,Resting,62,2,0.367
20,6,Bicycle,Nuwara Eliya,Vehicle Travel,77,5,3.331
50,7,Bicycle,Galle,Vehicle Travel,51,4,3.044
66,2,Train,Colombo,Vehicle Travel,166,5,3.541
78,1,Flight,Yala,Flight,240,5,17.706
48,10,Walking,Hikkaduwa,Other,33,1,0.149
73,1,Private Vehicle,Bentota,Sightseeing,111,3,0.222
80,1,Cruise,Nuwara Eliya,Cruise,465,3,11.79
72,15,Public Transport,Anuradhapura,Public Transport,86,4,1.849
47,17,Walking,Nuwara Eliya,Jogging,28,1,0.05
38,7,Private Vehicle,Yala,Private / Hired Vehicle,158,3,11.874
79,4,Public Transport,Jaffna,Public Transport,49,5,0.258
33,12,Tuk-Tuk,Sigiriya,Vehicle Travel,147,2,18.514
43,2,Bicycle,Colombo,Vehicle Travel,94,4,1.654
22,4,Walking,Galle,Hiking,177,3,0.106
68,3,Walking,Yala,Walking,104,1,0.003
58,14,Bicycle,Ella,Bicycle Ride,135,2,0.039
23,14,Private Vehicle,Dambulla,Cultural / Temple Visit,80,2,1.758
31,7,Train,Ella,Vehicle Travel,275,4,17.977
52,1,Flight,Colombo,Flight,255,2,15.362
52,5,Private Vehicle,Mirissa,Private / Hired Vehicle,81,5,4.09
68,2,Walking,Mirissa,Hiking,127,5,0.048
34,13,N/A,Hikkaduwa,Meal,51,2,17.619
76,1,Public Bus,Ella,Vehicle Travel,67,5,0.893
46,1,Tuk-Tuk,Hikkaduwa,Vehicle Travel,288,5,4.351
69,9,Public Transport,Kalpitiya,Airport Transfer,54,1,3.468
33,4,Cruise,Mirissa,Cruise,607,5,71.287
20,12,Private Vehicle,Anuradhapura,Sightseeing,90,3,1.981
21,1,Walking,Arugam Bay,Walking,72,4,0.001
41,11,Private Vehicle,Polonnaruwa,Private / Hired Vehicle,165,2,12.944
78,1,Train,Galle,Vehicle Travel,162,5,1.978
21,1,Walking,Negombo,Hiking,86,5,0.017
41,5,Private Vehicle,Sigiriya,Cultural / Temple Visit,69,5,0.695
24,2,Tuk-Tuk,Kalpitiya,Vehicle Travel,77,5,2.016
76,6,Private Vehicle,Galle,Shopping,47,1,1.18
60,1,Train,Trincomalee,Vehicle Travel,286,4,2.417
66,1,Bicycle,Yala,Vehicle Travel,145,3,1.221
62,9,Jeep,Arugam Bay,Wildlife Safari,150,2,22.952
59,2,Ferry,Anuradhapura,Ferry,134,2,1.251
66,8,Cruise,Colombo,Cruise,283,5,72.189
18,10,Ferry,Kalpitiya,Ferry,137,4,7.704
72,1,N/A,Trincomalee,Meal,53,1,1.191
64,10,Walking,Mirissa,Walking,127,5,0.017
64,2,Water,Trincomalee,Surfing,180,5,0.38
42,4,Private Vehicle,Trincomalee,Private / Hired Vehicle,85,3,3.27
68,1,Bicycle,Mirissa,Bicycle Ride,49,3,0.001
42,12,N/A,Yala,Other,128,4,3.031
21,6,Private Vehicle,Galle,Sightseeing,49,4,0.471
75,5,Private Vehicle,Colombo,Other,78,3,0.776
32,17,Private Vehicle,Trincomalee,Private / Hired Vehicle,192,4,31.533
24,3,Walking,Ella,Sightseeing,163,1,0.206
57,13,N/A,Arugam Bay,Meal,59,4,21.759
32,9,Cruise,Mirissa,Cruise,95,3,19.746
72,15,Ferry,Jaffna,Ferry,160,3,12.161
45,14,Private Vehicle,Ella,Spa / Ayurveda,110,3,10.405
18,20,Private Vehicle,Hikkaduwa,Airport Transfer,54,4,10.249
77,1,Private Vehicle,Haputale,Vehicle Travel,38,3,0.46
50,11,Public Transport,Anuradhapura,Sightseeing,121,3,2.042
34,11,Train,Galle,Vehicle Travel,102,2,7.95
60,7,Walking,Trincomalee,Hiking,234,5,0.335
51,2,Tuk-Tuk,Mirissa,Vehicle Travel,82,3,2.141
19,17,Train,Anuradhapura,Vehicle Travel,268,3,46.465
65,2,Private Vehicle,Jaffna,Spa / Ayurveda,128,2,1.57
43,5,N/A,Dambulla,Resting,69,4,0.202
62,5,Walking,Jaffna,Vehicle Travel,79,3,1.476
74,1,Private Vehicle,Dambulla,Vehicle Travel,118,3,1.728
56,9,Private Vehicle,Galle,Vehicle Travel,220,5,32.128
60,1,Public Transport,Sigiriya,Public Transport,45,4,0.058
34,8,Ferry,Jaffna,Ferry,63,4,2.429
32,12,Bicycle,Sigiriya,Bicycle Ride,27,3,0.008
44,3,Private Vehicle,Badulla,Sightseeing,140,5,0.822
71,9,Jeep,Hikkaduwa,Wildlife Safari,347,5,65.223
51,1,Walking,Yala,Hiking,120,4,0.02
39,12,Walking,Dambulla,Jogging,49,4,0.078
67,16,Walking,Badulla,Hiking,237,5,0.7
71,1,Walking,Colombo,Vehicle Travel,211,5,1.076
74,8,Private Vehicle,Jaffna,Private / Hired Vehicle,43,2,3.41
36,5,Walking,Yala,Other,88,5,0.251
62,5,Cruise,Dambulla,Cruise,246,4,33.065
55,9,Water,Bentota,Swimming / Snorkeling,54,4,0.431
46,5,Private Vehicle,Bentota,Vehicle Travel,120,3,9.172
43,7,N/A,Dambulla,Resting,130,3,0.427
25,2,Public Transport,Kalpitiya,Shopping,178,5,1.883
35,4,Private Vehicle,Galle,Cultural / Temple Visit,84,4,0.638
52,12,Public Bus,Mirissa,Vehicle Travel,218,2,24.086
73,1,Private Vehicle,Dambulla,Shopping,144,4,0.794
72,6,N/A,Ella,Beach Leisure,79,2,0.394
29,2,Walking,Hikkaduwa,Walking,71,3,0.001
60,12,Bicycle,Badulla,Vehicle Travel,74,4,7.73
23,6,Walking,Polonnaruwa,Hiking,124,4,0.114
60,4,Public Transport,Ella,Public Transport,127,2,0.581
39,2,Public Bus,Badulla,Vehicle Travel,163,2,2.58
46,4,Public Transport,Anuradhapura,Public Transport,125,3,0.542
63,16,Ferry,Arugam Bay,Ferry,208,4,17.652
44,5,Tuk-Tuk,Sigiriya,Vehicle Travel,140,5,10.458
68,5,Train,Hikkaduwa,Vehicle Travel,254,4,10.993
51,9,Private Vehicle,Galle,Other,150,4,2.762
80,4,Walking,Negombo,Vehicle Travel,237,3,4.039
58,4,Walking,Kandy,Walking,45,2,0.002
36,3,Water,Polonnaruwa,Swimming / Snorkeling,70,5,0.223
66,1,N/A,Bentota,Meal,57,4,1.772
43,9,Private Vehicle,Trincomalee,Vehicle Travel,84,2,9.443
51,13,N/A,Nuwara Eliya,Beach Leisure,191,4,2.467
26,14,Public Transport,Galle,Cultural / Temple Visit,100,4,2.32
25,13,Bicycle,Colombo,Bicycle Ride,137,3,0.042
54,4,Public Transport,Badulla,Sightseeing,208,1,1.097
29,3,Jeep,Galle,Wildlife Safari,229,4,13.581
80,7,Water,Kandy,Swimming / Snorkeling,146,1,0.771
71,16,N/A,Trincomalee,Resting,93,3,0.787
62,9,Walking,Badulla,Hiking,133,5,0.244
64,5,Public Bus,Kandy,Vehicle Travel,209,5,10.416
55,8,N/A,Sigiriya,Meal,61,3,13.445
21,10,Public Bus,Jaffna,Vehicle Travel,317,1,28.825
42,14,Public Transport,Arugam Bay,Spa / Ayurveda,142,3,11.564
49,10,Public Transport,Galle,Public Transport,135,3,1.546
75,4,Public Transport,Badulla,Sightseeing,129,5,0.891
31,2,Walking,Anuradhapura,Vehicle Travel,246,4,2.013
49,5,Boat,Hikkaduwa,Boat Ride,106,3,2.295
39,3,Private Vehicle,Arugam Bay,Sightseeing,156,4,0.744
26,15,Walking,Jaffna,Vehicle Travel,201,3,12.36
24,5,Train,Haputale,Vehicle Travel,200,4,8.999
41,5,Bicycle,Bentota,Vehicle Travel,42,5,1.883
23,3,Public Transport,Polonnaruwa,Airport Transfer,142,2,2.703
22,7,Public Transport,Sigiriya,Cultural / Temple Visit,42,3,0.399
40,5,Private Vehicle,Bentota,Vehicle Travel,106,5,8.732
30,1,N/A,Colombo,Resting,90,3,0.048
52,13,N/A,Bentota,Meal,61,3,23.622
19,3,Flight,Jaffna,Flight,260,1,38.973
37,4,Walking,Mirissa,Jogging,41,3,0.021
46,2,Private Vehicle,Yala,Vehicle Travel,65,4,1.882
78,6,Private Vehicle,Anuradhapura,Vehicle Travel,70,3,4.969
57,9,Public Transport,Nuwara Eliya,Sightseeing,114,3,1.548
73,13,Ferry,Haputale,Ferry,56,3,3.928
39,1,Private Vehicle,Anuradhapura,Shopping,151,4,0.833
46,18,Public Transport,Bentota,Airport Transfer,50,5,8.73
44,9,N/A,Haputale,Resting,100,4,0.475
73,3,Walking,Mirissa,Hiking,259,4,0.141
78,2,N/A,Polonnaruwa,Meal,49,5,4.213
78,3,N/A,Anuradhapura,Meal,43,2,4.257
65,13,N/A,Yala,Meal,51,3,19.275
49,3,N/A,Negombo,Meal,72,1,5.264
52,5,Boat,Badulla,Boat Ride,56,3,1.413
79,9,Public Transport,Dambulla,Shopping,102,5,5.425
35,13,Walking,Arugam Bay,Hiking,156,3,0.318
39,8,N/A,Jaffna,Beach Leisure,230,5,1.613
74,10,Public Transport,Bentota,Public Transport,82,2,1.021
42,2,Bicycle,Arugam Bay,Vehicle Travel,64,3,0.942
32,13,Private Vehicle,Anuradhapura,Other,49,3,1.081
53,2,Water,Kandy,Surfing,92,2,0.142
38,1,Flight,Kalpitiya,Flight,235,3,16.558
74,18,Boat,Galle,Boat Ride,74,4,6.408
75,2,Jeep,Sigiriya,Wildlife Safari,149,3,5.954
37,1,N/A,Sigiriya,Meal,70,5,2.471
51,7,Private Vehicle,Nuwara Eliya,Private / Hired Vehicle,88,5,7.014
79,3,Private Vehicle,Arugam Bay,Vehicle Travel,132,3,4.955
64,1,N/A,Badulla,Resting,103,5,0.064
31,7,Train,Bentota,Vehicle Travel,57,1,2.89
55,10,Flight,Negombo,Flight,184,3,119.681
57,10,Private Vehicle,Negombo,Vehicle Travel,246,3,33.154
59,1,Boat,Dambulla,Boat Ride,79,4,0.394
19,6,Public Transport,Mirissa,Public Transport,27,4,0.211
36,11,Bicycle,Negombo,Bicycle Ride,115,4,0.038
71,1,Walking,Dambulla,Hiking,155,5,0.033
33,2,Private Vehicle,Hikkaduwa,Sightseeing,158,3,0.553
36,1,Walking,Jaffna,Other,113,5,0.072
38,5,Train,Kandy,Vehicle Travel,173,4,7.588
29,2,N/A,Trincomalee,Beach Leisure,139,3,0.236
27,9,Public Bus,Dambulla,Vehicle Travel,83,3,6.754
39,16,Public Bus,Bentota,Vehicle Travel,303,3,52.315
73,2,Walking,Nuwara Eliya,Walking,106,3,0.002
18,7,Private Vehicle,Jaffna,Medical / Hospital Visit,66,4,4.618
35,2,Walking,Galle,Vehicle Travel,273,3,2.218
21,1,Public Transport,Negombo,Sightseeing,193,2,0.269
53,10,N/A,Badulla,Resting,94,4,0.507
33,4,Water,Arugam Bay,Swimming / Snorkeling,122,4,0.367
67,16,Walking,Colombo,Jogging,48,5,0.13
54,6,Private Vehicle,Sigiriya,Sightseeing,131,4,1.476
67,1,Public Transport,Colombo,Shopping,51,4,0.27
57,4,Train,Arugam Bay,Vehicle Travel,245,3,9.358
45,2,Walking,Bentota,Hiking,127,4,0.045
72,13,Public Bus,Dambulla,Vehicle Travel,213,3,30.024
48,8,Private Vehicle,Polonnaruwa,Private / Hired Vehicle,195,2,12.089
77,3,Private Vehicle,Yala,Vehicle Travel,58,5,3.136
80,5,Tuk-Tuk,Badulla,Vehicle Travel,197,4,11.831
55,8,Public Transport,Yala,Sightseeing,195,4,2.397
60,10,Private Vehicle,Galle,Shopping,118,3,6.031
34,1,N/A,Haputale,Resting,163,4,0.09
69,1,N/A,Anuradhapura,Other,46,2,0.076
60,1,Flight,Kalpitiya,Flight,259,3,16.079
74,4,Private Vehicle,Negombo,Airport Transfer,63,2,2.518
34,5,Walking,Haputale,Hiking,167,2,0.106
67,1,Walking,Mirissa,Sightseeing,80,1,0.035
47,4,Private Vehicle,Jaffna,Other,138,4,0.862
29,4,Walking,Nuwara Eliya,Jogging,22,3,0.01
28,1,Public Bus,Sigiriya,Vehicle Travel,72,5,0.761
53,14,Public Transport,Bentota,Public Transport,55,5,1.168
38,7,N/A,Bentota,Resting,143,2,0.485
24,4,Walking,Jaffna,Vehicle Travel,214,4,3.269
44,5,Private Vehicle,Kalpitiya,Spa / Ayurveda,111,3,2.938
59,3,Private Vehicle,Colombo,Private / Hired Vehicle,202,5,6.235
38,12,Water,Mirissa,Surfing,146,3,1.34
78,6,Walking,Dambulla,Jogging,32,3,0.025
67,5,Tuk-Tuk,Yala,Vehicle Travel,107,3,6.724
50,14,Water,Sigiriya,Swimming / Snorkeling,56,5,0.726
76,12,Walking,Yala,Sightseeing,175,3,1.013
45,11,Walking,Polonnaruwa,Walking,87,5,0.01
26,2,Flight,Haputale,Flight,240,2,28.221
20,1,Tuk-Tuk,Hikkaduwa,Vehicle Travel,98,4,0.992
77,8,Private Vehicle,Arugam Bay,Private / Hired Vehicle,41,3,2.799
78,5,Private Vehicle,Mirissa,Airport Transfer,54,2,2.65
64,8,Public Transport,Hikkaduwa,Sightseeing,166,2,2.121
24,10,Jeep,Dambulla,Wildlife Safari,142,3,22.836
36,3,Walking,Galle,Walking,170,4,0.005
20,3,Tuk-Tuk,Kandy,Vehicle Travel,66,4,2.848
21,5,Private Vehicle,Bentota,Medical / Hospital Visit,80,2,3.035
33,2,Train,Sigiriya,Vehicle Travel,141,3,2.342
54,8,Bicycle,Mirissa,Vehicle Travel,113,2,6.335
22,9,Walking,Trincomalee,Walking,86,4,0.01
80,5,Water,Haputale,Swimming / Snorkeling,96,4,0.5
46,9,Flight,Dambulla,Flight,306,5,221.447
34,5,Walking,Galle,Vehicle Travel,128,5,2.974
50,9,Flight,Polonnaruwa,Flight,37,3,20.447
67,2,Walking,Dambulla,Jogging,40,3,0.01
37,9,N/A,Anuradhapura,Meal,75,5,21.936
20,9,Bicycle,Kandy,Bicycle Ride,105,2,0.022
21,2,N/A,Dambulla,Meal,65,1,3.249
71,6,Walking,Ella,Jogging,46,3,0.036
25,12,N/A,Nuwara Eliya,Meal,68,4,27.477
58,2,Public Transport,Arugam Bay,Public Transport,90,4,0.24
42,9,Public Bus,Kandy,Vehicle Travel,140,5,15.666
66,16,Private Vehicle,Anuradhapura,Private / Hired Vehicle,150,3,21.742
21,12,N/A,Nuwara Eliya,Resting,151,3,0.817
74,4,Private Vehicle,Kandy,Vehicle Travel,275,3,13.352
61,7,N/A,Haputale,Meal,78,4,19.746
46,20,Private Vehicle,Sigiriya,Sightseeing,118,2,3.291
31,6,Train,Trincomalee,Vehicle Travel,101,5,6.502
79,1,Bicycle,Polonnaruwa,Vehicle Travel,72,4,0.65
37,1,Walking,Arugam Bay,Other,90,4,0.047
48,10,Private Vehicle,Sigiriya,Private / Hired Vehicle,143,5,16.361
42,4,Private Vehicle,Negombo,Vehicle Travel,44,3,2.239
32,2,Walking,Hikkaduwa,Hiking,215,4,0.064
44,3,Private Vehicle,Colombo,Cultural / Temple Visit,68,3,0.324
27,10,Cruise,Polonnaruwa,Cruise,252,5,70.827
18,5,Train,Galle,Vehicle Travel,172,5,9.014
36,12,Bicycle,Negombo,Bicycle Ride,37,4,0.011
25,9,Bicycle,Kandy,Bicycle Ride,67,2,0.014
44,18,Private Vehicle,Kandy,Sightseeing,251,5,9.383
72,13,Private Vehicle,Galle,Vehicle Travel,49,5,11.085
28,2,Private Vehicle,Negombo,Private / Hired Vehicle,208,4,4.159
18,8,Private Vehicle,Arugam Bay,Medical / Hospital Visit,53,5,4.143
24,1,Train,Mirissa,Vehicle Travel,110,4,1.105
50,20,Cruise,Sigiriya,Cruise,181,3,93.985
35,2,N/A,Galle,Meal,61,3,3.095
48,8,Walking,Dambulla,Jogging,22,1,0.018
